gamma,mu,lam,eps,status,time,E_rmse,P_caiso,P_wecc,S_dev,E_AZ,E_CA,E_CO,E_ID,E_MT,E_NM,E_NV,E_OR,E_SD,E_TX,E_UT,E_WA,E_WY
0.01,100.0,0.01,1e-06,user_limit,126.173,0.01,-10.469,-31.448,10.0,-0.425,2.33,-0.07,-0.009,0.0,-0.008,-0.188,-0.033,0.0,-0.01,-0.017,0.006,-0.005
0.01,100.0,0.1,1e-06,user_limit,124.084,0.01,-10.549,-31.963,9.977,-0.425,2.344,-0.07,-0.009,0.0,-0.008,-0.188,-0.033,0.0,-0.01,-0.017,0.007,-0.005
0.01,100.0,1.0,1e-06,optimal_inaccurate,125.554,0.01,-11.139,-34.582,9.954,-0.416,2.401,-0.064,-0.008,0.0,-0.007,-0.185,-0.029,0.0,-0.01,-0.015,0.015,-0.005
0.01,100.0,10.0,1e-06,optimal,9.576,0.014,-13.799,-42.216,14.015,-0.333,2.753,-0.004,0.005,0.003,0.004,-0.151,0.009,0.0,-0.008,0.008,0.094,-0.001
0.01,100.0,100.0,1e-06,optimal,1.381,0.05,-16.51,-48.343,50.451,0.505,6.518,0.591,0.135,0.033,0.109,0.183,0.387,0.0,0.005,0.231,0.889,0.033
0.1,0.001,0.001,1e-06,optimal,22.973,0.0,-9.418,-33.892,0.002,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
0.1,0.001,0.01,1e-06,optimal,59.642,0.0,-9.419,-33.898,0.007,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
0.1,0.001,0.1,1e-06,optimal,52.345,0.0,-9.426,-33.957,0.063,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.016,-0.067,-0.209,0.027,-0.33
0.1,0.001,1.0,1e-06,optimal,5.015,0.0,-9.491,-34.424,0.495,-0.715,3.363,-0.703,-0.291,0.024,-0.204,-0.898,-0.296,0.016,-0.067,-0.206,0.03,-0.328
0.1,0.001,10.0,1e-06,optimal,2.225,0.003,-10.072,-36.678,3.028,-0.701,3.418,-0.643,-0.249,0.07,-0.177,-0.882,-0.262,0.019,-0.066,-0.179,0.067,-0.306
0.1,0.001,100.0,1e-06,optimal,1.337,0.015,-12.53,-40.126,14.585,-0.56,3.963,-0.042,0.164,0.531,0.096,-0.722,0.076,0.047,-0.057,0.093,0.434,-0.09
0.1,0.01,0.001,1e-06,optimal,23.779,0.0,-9.418,-33.893,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
