gamma,mu,lam,eps,E_err,P_err,score,time,status
1000.0,100.0,100000.0,1e-06,0.3939,0.3755,0.0,45.579,user_limit
1000.0,100.0,1000000.0,1e-06,0.3939,0.3755,0.0,45.55,user_limit
1000.0,1000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.909,optimal
1000.0,1000.0,1e-05,1e-06,0.394,0.3756,0.001,47.714,optimal_inaccurate
1000.0,1000.0,0.0001,1e-06,0.394,0.3755,0.0,42.622,optimal
1000.0,1000.0,0.001,1e-06,0.3939,0.3755,0.0,0.162,optimal
1000.0,1000.0,0.01,1e-06,0.3939,0.3755,0.0,0.16,optimal
1000.0,1000.0,0.1,1e-06,0.3939,0.3755,0.0,0.161,optimal
1000.0,1000.0,1.0,1e-06,0.3939,0.3755,0.0,0.164,optimal
1000.0,1000.0,10.0,1e-06,0.394,0.3756,0.002,0.274,optimal
1000.0,1000.0,100.0,1e-06,0.3939,0.3755,0.003,3.498,optimal
1000.0,1000.0,1000.0,1e-06,0.3939,0.3755,0.0,45.501,optimal_inaccurate
1000.0,1000.0,10000.0,1e-06,0.3938,0.3754,0.001,45.669,user_limit
1000.0,1000.0,100000.0,1e-06,0.3939,0.3755,0.001,45.52,user_limit
1000.0,1000.0,1000000.0,1e-06,0.394,0.3756,0.0,44.366,optimal
1000.0,10000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.915,optimal
1000.0,10000.0,1e-05,1e-06,0.3938,0.3754,0.002,24.763,optimal
1000.0,10000.0,0.0001,1e-06,0.3938,0.3754,0.002,0.274,optimal
1000.0,10000.0,0.001,1e-06,0.3941,0.3757,0.002,0.16,optimal
1000.0,10000.0,0.01,1e-06,0.3941,0.3757,0.002,0.165,optimal
1000.0,10000.0,0.1,1e-06,0.3937,0.3754,0.002,0.161,optimal
1000.0,10000.0,1.0,1e-06,0.3938,0.3754,0.001,0.163,optimal
1000.0,10000.0,10.0,1e-06,0.394,0.3756,0.002,0.166,optimal
1000.0,10000.0,100.0,1e-06,0.3939,0.3755,0.002,0.621,optimal
1000.0,10000.0,1000.0,1e-06,0.3939,0.3755,0.002,5.99,optimal
1000.0,10000.0,10000.0,1e-06,0.3939,0.3755,0.002,9.485,optimal
1000.0,10000.0,100000.0,1e-06,0.3939,0.3755,0.0,45.795,optimal_inaccurate
1000.0,10000.0,1000000.0,1e-06,0.394,0.3756,0.0,45.681,user_limit
1000.0,100000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.369,optimal
1000.0,100000.0,1e-05,1e-06,0.3938,0.3755,0.002,6.646,optimal
1000.0,100000.0,0.0001,1e-06,0.3938,0.3754,0.002,0.395,optimal
1000.0,100000.0,0.001,1e-06,0.394,0.3756,0.002,0.28,optimal
1000.0,100000.0,0.01,1e-06,0.3943,0.3758,0.002,0.166,optimal
1000.0,100000.0,0.1,1e-06,0.3942,0.3757,0.002,0.162,optimal
1000.0,100000.0,1.0,1e-06,0.3939,0.3755,0.002,0.163,optimal
1000.0,100000.0,10.0,1e-06,0.3937,0.3754,0.002,0.159,optimal
1000.0,100000.0,100.0,1e-06,0.3937,0.3753,0.002,0.275,optimal
1000.0,100000.0,1000.0,1e-06,0.3937,0.3754,0.002,0.965,optimal
1000.0,100000.0,10000.0,1e-06,0.3941,0.3757,0.002,5.554,optimal
1000.0,100000.0,100000.0,1e-06,0.3939,0.3755,0.002,9.519,optimal
1000.0,100000.0,1000000.0,1e-06,0.394,0.3756,0.0,45.9,optimal_inaccurate
1000.0,1000000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.324,optimal
1000.0,1000000.0,1e-05,1e-06,0.3939,0.3755,0.002,24.485,optimal
1000.0,1000000.0,0.0001,1e-06,0.3944,0.3759,0.002,0.162,optimal
1000.0,1000000.0,0.001,1e-06,0.3939,0.3755,0.002,0.164,optimal
1000.0,1000000.0,0.01,1e-06,0.3939,0.3755,0.002,0.166,optimal
1000.0,1000000.0,0.1,1e-06,0.394,0.3756,0.002,0.161,optimal
1000.0,1000000.0,1.0,1e-06,0.3937,0.3753,0.002,0.162,optimal
1000.0,1000000.0,10.0,1e-06,0.3939,0.3755,0.002,0.16,optimal
1000.0,1000000.0,100.0,1e-06,0.3941,0.3757,0.002,0.162,optimal
1000.0,1000000.0,1000.0,1e-06,0.3939,0.3755,0.002,0.278,optimal
1000.0,1000000.0,10000.0,1e-06,0.3938,0.3754,0.003,1.197,optimal
1000.0,1000000.0,100000.0,1e-06,0.3941,0.3757,0.003,3.612,optimal
1000.0,1000000.0,1000000.0,1e-06,0.394,0.3756,0.001,27.129,optimal
10000.0,1e-06,1e-06,1e-06,0.3939,0.3755,0.0,7.76,optimal
10000.0,1e-06,1e-05,1e-06,0.4086,0.3877,0.014,47.932,user_limit
10000.0,1e-06,0.0001,1e-06,0.4027,0.3826,0.01,46.315,user_limit
10000.0,1e-06,0.001,1e-06,0.3998,0.3802,0.008,46.331,user_limit
10000.0,1e-06,0.01,1e-06,0.3985,0.3792,0.006,46.712,user_limit
10000.0,1e-06,0.1,1e-06,0.3983,0.379,0.006,46.569,user_limit
10000.0,1e-06,1.0,1e-06,0.398,0.3788,0.005,46.321,user_limit
10000.0,1e-06,10.0,1e-06,0.3971,0.3781,0.005,46.449,user_limit
10000.0,1e-06,100.0,1e-06,0.3946,0.3761,0.002,46.621,user_limit
10000.0,1e-06,1000.0,1e-06,0.3939,0.3755,0.0,45.923,user_limit
10000.0,1e-06,10000.0,1e-06,0.3938,0.3755,0.001,45.978,user_limit
10000.0,1e-06,100000.0,1e-06,0.3939,0.3755,0.001,46.44,user_limit
10000.0,1e-06,1000000.0,1e-06,0.3939,0.3755,0.001,46.507,user_limit
10000.0,1e-05,1e-06,1e-06,0.3939,0.3755,0.0,7.74,optimal
10000.0,1e-05,1e-05,1e-06,0.4086,0.3877,0.014,47.877,user_limit
10000.0,1e-05,0.0001,1e-06,0.4027,0.3826,0.01,46.28,user_limit
10000.0,1e-05,0.001,1e-06,0.3998,0.3802,0.008,46.255,user_limit
10000.0,1e-05,0.01,1e-06,0.3985,0.3792,0.006,46.633,user_limit
10000.0,1e-05,0.1,1e-06,0.3983,0.379,0.006,46.5,user_limit
10000.0,1e-05,1.0,1e-06,0.398,0.3788,0.005,46.264,user_limit
10000.0,1e-05,10.0,1e-06,0.3971,0.3781,0.005,46.715,user_limit
10000.0,1e-05,100.0,1e-06,0.3946,0.3761,0.002,47.151,user_limit
10000.0,1e-05,1000.0,1e-06,0.3939,0.3755,0.0,46.228,user_limit
10000.0,1e-05,10000.0,1e-06,0.3938,0.3755,0.001,46.042,user_limit
10000.0,1e-05,100000.0,1e-06,0.3939,0.3755,0.001,45.922,user_limit
10000.0,1e-05,1000000.0,1e-06,0.3939,0.3755,0.001,46.536,user_limit
10000.0,0.0001,1e-06,1e-06,0.3939,0.3755,0.0,8.651,optimal
10000.0,0.0001,1e-05,1e-06,0.4086,0.3877,0.014,47.859,user_limit
10000.0,0.0001,0.0001,1e-06,0.4027,0.3826,0.01,46.22,user_limit
10000.0,0.0001,0.001,1e-06,0.3998,0.3802,0.008,46.084,user_limit
10000.0,0.0001,0.01,1e-06,0.3985,0.3792,0.006,46.441,user_limit
10000.0,0.0001,0.1,1e-06,0.3983,0.379,0.006,46.517,user_limit
10000.0,0.0001,1.0,1e-06,0.398,0.3788,0.005,46.139,user_limit
10000.0,0.0001,10.0,1e-06,0.3971,0.3781,0.005,46.23,user_limit
10000.0,0.0001,100.0,1e-06,0.3946,0.3761,0.002,46.389,user_limit
10000.0,0.0001,1000.0,1e-06,0.3939,0.3755,0.0,45.696,user_limit
10000.0,0.0001,10000.0,1e-06,0.3938,0.3755,0.001,45.759,user_limit
10000.0,0.0001,100000.0,1e-06,0.3939,0.3755,0.001,45.717,user_limit
10000.0,0.0001,1000000.0,1e-06,0.3939,0.3755,0.001,46.23,user_limit
10000.0,0.001,1e-06,1e-06,0.3939,0.3755,0.0,7.785,optimal
10000.0,0.001,1e-05,1e-06,0.4086,0.3877,0.014,47.811,user_limit
10000.0,0.001,0.0001,1e-06,0.4027,0.3826,0.01,46.242,user_limit
10000.0,0.001,0.001,1e-06,0.3998,0.3802,0.008,46.251,user_limit
10000.0,0.001,0.01,1e-06,0.3985,0.3792,0.006,46.591,user_limit
10000.0,0.001,0.1,1e-06,0.3983,0.379,0.006,46.473,user_limit
10000.0,0.001,1.0,1e-06,0.398,0.3788,0.005,46.263,user_limit
10000.0,0.001,10.0,1e-06,0.3971,0.3781,0.005,46.365,user_limit
10000.0,0.001,100.0,1e-06,0.3946,0.3761,0.002,46.518,user_limit
10000.0,0.001,1000.0,1e-06,0.3939,0.3755,0.0,45.828,user_limit
10000.0,0.001,10000.0,1e-06,0.3938,0.3755,0.001,45.886,user_limit
10000.0,0.001,100000.0,1e-06,0.3939,0.3755,0.001,45.865,user_limit
10000.0,0.001,1000000.0,1e-06,0.3939,0.3755,0.001,46.395,user_limit
10000.0,0.01,1e-06,1e-06,0.3939,0.3755,0.0,7.802,optimal
10000.0,0.01,1e-05,1e-06,0.4086,0.3877,0.014,47.717,user_limit
10000.0,0.01,0.0001,1e-06,0.4027,0.3826,0.01,46.092,user_limit
10000.0,0.01,0.001,1e-06,0.3998,0.3802,0.008,46.133,user_limit
10000.0,0.01,0.01,1e-06,0.3985,0.3792,0.006,46.479,user_limit
10000.0,0.01,0.1,1e-06,0.3983,0.379,0.006,46.357,user_limit
10000.0,0.01,1.0,1e-06,0.398,0.3788,0.005,46.125,user_limit
10000.0,0.01,10.0,1e-06,0.3971,0.3781,0.005,46.261,user_limit
10000.0,0.01,100.0,1e-06,0.3946,0.3761,0.002,46.419,user_limit
10000.0,0.01,1000.0,1e-06,0.3939,0.3755,0.0,46.792,user_limit
10000.0,0.01,10000.0,1e-06,0.3938,0.3755,0.001,45.764,user_limit
10000.0,0.01,100000.0,1e-06,0.3939,0.3755,0.001,45.845,user_limit
10000.0,0.01,1000000.0,1e-06,0.3939,0.3755,0.001,46.258,user_limit
10000.0,0.1,1e-06,1e-06,0.3939,0.3755,0.0,7.837,optimal
10000.0,0.1,1e-05,1e-06,0.4086,0.3877,0.014,47.891,user_limit
10000.0,0.1,0.0001,1e-06,0.4027,0.3826,0.01,46.301,user_limit
10000.0,0.1,0.001,1e-06,0.3998,0.3802,0.008,46.316,user_limit
10000.0,0.1,0.01,1e-06,0.3985,0.3792,0.006,46.701,user_limit
10000.0,0.1,0.1,1e-06,0.3983,0.379,0.006,48.126,user_limit
10000.0,0.1,1.0,1e-06,0.398,0.3788,0.005,46.339,user_limit
10000.0,0.1,10.0,1e-06,0.3971,0.3781,0.005,46.416,user_limit
10000.0,0.1,100.0,1e-06,0.3946,0.3761,0.002,46.599,user_limit
10000.0,0.1,1000.0,1e-06,0.3939,0.3755,0.0,45.901,user_limit
10000.0,0.1,10000.0,1e-06,0.3938,0.3755,0.001,45.935,user_limit
10000.0,0.1,100000.0,1e-06,0.3939,0.3755,0.001,45.933,user_limit
10000.0,0.1,1000000.0,1e-06,0.3939,0.3755,0.001,46.474,user_limit
10000.0,1.0,1e-06,1e-06,0.3939,0.3755,0.0,7.725,optimal
10000.0,1.0,1e-05,1e-06,0.4007,0.381,0.009,47.459,user_limit
10000.0,1.0,0.0001,1e-06,0.3968,0.3778,0.005,46.262,user_limit
10000.0,1.0,0.001,1e-06,0.3965,0.3776,0.004,46.125,user_limit
10000.0,1.0,0.01,1e-06,0.3965,0.3776,0.004,46.116,user_limit
10000.0,1.0,0.1,1e-06,0.3963,0.3774,0.004,46.148,user_limit
10000.0,1.0,1.0,1e-06,0.3962,0.3773,0.004,46.177,user_limit
10000.0,1.0,10.0,1e-06,0.396,0.3772,0.004,46.119,user_limit
10000.0,1.0,100.0,1e-06,0.394,0.3756,0.001,46.307,user_limit
10000.0,1.0,1000.0,1e-06,0.3939,0.3755,0.0,45.66,user_limit
10000.0,1.0,10000.0,1e-06,0.3939,0.3755,0.001,45.602,user_limit
10000.0,1.0,100000.0,1e-06,0.3939,0.3755,0.001,45.609,user_limit
10000.0,1.0,1000000.0,1e-06,0.3938,0.3755,0.0,45.64,user_limit
10000.0,10.0,1e-06,1e-06,0.3939,0.3755,0.0,7.748,optimal
10000.0,10.0,1e-05,1e-06,0.3967,0.3777,0.005,47.649,user_limit
10000.0,10.0,0.0001,1e-06,0.3941,0.3757,0.001,46.516,user_limit
10000.0,10.0,0.001,1e-06,0.394,0.3756,0.0,46.231,user_limit
10000.0,10.0,0.01,1e-06,0.3941,0.3756,0.0,46.29,user_limit
10000.0,10.0,0.1,1e-06,0.394,0.3756,0.0,46.373,user_limit
10000.0,10.0,1.0,1e-06,0.394,0.3756,0.0,46.245,user_limit
10000.0,10.0,10.0,1e-06,0.394,0.3756,0.001,46.645,user_limit
10000.0,10.0,100.0,1e-06,0.394,0.3756,0.0,45.844,user_limit
10000.0,10.0,1000.0,1e-06,0.3939,0.3755,0.0,46.239,user_limit
10000.0,10.0,10000.0,1e-06,0.3938,0.3755,0.0,45.794,user_limit
10000.0,10.0,100000.0,1e-06,0.3939,0.3755,0.001,45.793,user_limit
10000.0,10.0,1000000.0,1e-06,0.3938,0.3755,0.0,46.26,user_limit
10000.0,100.0,1e-06,1e-06,0.3939,0.3755,0.0,7.39,optimal
10000.0,100.0,1e-05,1e-06,0.394,0.3756,0.001,48.158,user_limit
10000.0,100.0,0.0001,1e-06,0.394,0.3756,0.0,45.979,user_limit
10000.0,100.0,0.001,1e-06,0.394,0.3755,0.0,45.358,user_limit
10000.0,100.0,0.01,1e-06,0.394,0.3756,0.0,45.342,user_limit
10000.0,100.0,0.1,1e-06,0.394,0.3755,0.0,45.444,user_limit
10000.0,100.0,1.0,1e-06,0.3939,0.3755,0.001,35.682,optimal
10000.0,100.0,10.0,1e-06,0.394,0.3756,0.002,7.26,optimal
10000.0,100.0,100.0,1e-06,0.3939,0.3755,0.001,11.865,optimal
10000.0,100.0,1000.0,1e-06,0.3939,0.3755,0.001,46.164,optimal_inaccurate
10000.0,100.0,10000.0,1e-06,0.3939,0.3755,0.001,45.727,user_limit
10000.0,100.0,100000.0,1e-06,0.3939,0.3755,0.0,45.746,user_limit
10000.0,100.0,1000000.0,1e-06,0.3939,0.3755,0.0,48.322,user_limit
10000.0,1000.0,1e-06,1e-06,0.3939,0.3755,0.0,7.326,optimal
10000.0,1000.0,1e-05,1e-06,0.3938,0.3755,0.001,37.555,optimal
10000.0,1000.0,0.0001,1e-06,0.394,0.3756,0.001,0.502,optimal
10000.0,1000.0,0.001,1e-06,0.3938,0.3754,0.001,0.162,optimal
10000.0,1000.0,0.01,1e-06,0.3942,0.3757,0.001,0.727,optimal
10000.0,1000.0,0.1,1e-06,0.3941,0.3756,0.001,0.159,optimal
10000.0,1000.0,1.0,1e-06,0.3941,0.3756,0.001,0.161,optimal
10000.0,1000.0,10.0,1e-06,0.394,0.3756,0.002,0.274,optimal
10000.0,1000.0,100.0,1e-06,0.394,0.3756,0.002,5.767,optimal
10000.0,1000.0,1000.0,1e-06,0.3939,0.3755,0.002,9.819,optimal
10000.0,1000.0,10000.0,1e-06,0.3939,0.3755,0.0,45.766,optimal_inaccurate
10000.0,1000.0,100000.0,1e-06,0.3938,0.3755,0.0,45.651,user_limit
10000.0,1000.0,1000000.0,1e-06,0.3938,0.3755,0.0,45.685,user_limit
10000.0,10000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.963,optimal
10000.0,10000.0,1e-05,1e-06,0.3941,0.3757,0.002,20.192,optimal
10000.0,10000.0,0.0001,1e-06,0.3938,0.3754,0.002,0.162,optimal
10000.0,10000.0,0.001,1e-06,0.3936,0.3753,0.002,0.162,optimal
10000.0,10000.0,0.01,1e-06,0.3937,0.3753,0.002,0.166,optimal
10000.0,10000.0,0.1,1e-06,0.394,0.3756,0.002,0.166,optimal
10000.0,10000.0,1.0,1e-06,0.3944,0.3759,0.002,0.164,optimal
10000.0,10000.0,10.0,1e-06,0.3942,0.3757,0.002,0.163,optimal
10000.0,10000.0,100.0,1e-06,0.3941,0.3757,0.002,0.737,optimal
10000.0,10000.0,1000.0,1e-06,0.394,0.3756,0.003,2.24,optimal
10000.0,10000.0,10000.0,1e-06,0.3939,0.3755,0.0,45.98,optimal_inaccurate
10000.0,10000.0,100000.0,1e-06,0.3938,0.3755,0.0,45.736,user_limit
10000.0,10000.0,1000000.0,1e-06,0.3938,0.3755,0.0,45.734,user_limit
10000.0,100000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.806,optimal
10000.0,100000.0,1e-05,1e-06,0.3938,0.3755,0.002,6.661,optimal
10000.0,100000.0,0.0001,1e-06,0.3938,0.3754,0.002,0.395,optimal
10000.0,100000.0,0.001,1e-06,0.394,0.3756,0.002,0.276,optimal
10000.0,100000.0,0.01,1e-06,0.3943,0.3758,0.002,0.163,optimal
10000.0,100000.0,0.1,1e-06,0.3942,0.3757,0.002,0.161,optimal
10000.0,100000.0,1.0,1e-06,0.3939,0.3755,0.002,0.16,optimal
10000.0,100000.0,10.0,1e-06,0.3937,0.3754,0.002,0.164,optimal
10000.0,100000.0,100.0,1e-06,0.3937,0.3753,0.002,0.278,optimal
10000.0,100000.0,1000.0,1e-06,0.3937,0.3754,0.002,0.968,optimal
10000.0,100000.0,10000.0,1e-06,0.3941,0.3757,0.002,5.559,optimal
10000.0,100000.0,100000.0,1e-06,0.3939,0.3755,0.002,9.521,optimal
10000.0,100000.0,1000000.0,1e-06,0.3939,0.3755,0.0,45.947,optimal_inaccurate
10000.0,1000000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.378,optimal
10000.0,1000000.0,1e-05,1e-06,0.3933,0.375,0.003,9.703,optimal
10000.0,1000000.0,0.0001,1e-06,0.3942,0.3758,0.003,0.509,optimal
10000.0,1000000.0,0.001,1e-06,0.3938,0.3754,0.002,0.393,optimal
10000.0,1000000.0,0.01,1e-06,0.3942,0.3757,0.002,0.276,optimal
10000.0,1000000.0,0.1,1e-06,0.3939,0.3755,0.002,0.16,optimal
10000.0,1000000.0,1.0,1e-06,0.3942,0.3757,0.002,0.16,optimal
10000.0,1000000.0,10.0,1e-06,0.3934,0.3751,0.002,0.164,optimal
10000.0,1000000.0,100.0,1e-06,0.3936,0.3753,0.002,0.162,optimal
10000.0,1000000.0,1000.0,1e-06,0.3941,0.3757,0.002,0.161,optimal
10000.0,1000000.0,10000.0,1e-06,0.394,0.3755,0.003,1.196,optimal
10000.0,1000000.0,100000.0,1e-06,0.3939,0.3755,0.002,3.857,optimal
10000.0,1000000.0,1000000.0,1e-06,0.3939,0.3755,0.001,46.758,optimal_inaccurate
100000.0,1e-06,1e-06,1e-06,0.3939,0.3755,0.0,7.492,optimal
100000.0,1e-06,1e-05,1e-06,0.4088,0.3878,0.014,47.584,user_limit
100000.0,1e-06,0.0001,1e-06,0.406,0.3854,0.012,46.291,user_limit
100000.0,1e-06,0.001,1e-06,0.4034,0.3833,0.01,46.289,user_limit
100000.0,1e-06,0.01,1e-06,0.4022,0.3821,0.01,46.27,user_limit
100000.0,1e-06,0.1,1e-06,0.4006,0.381,0.009,46.292,user_limit
100000.0,1e-06,1.0,1e-06,0.3996,0.3801,0.008,46.299,user_limit
100000.0,1e-06,10.0,1e-06,0.3977,0.3786,0.005,46.393,user_limit
100000.0,1e-06,100.0,1e-06,0.3963,0.3774,0.004,46.301,user_limit
100000.0,1e-06,1000.0,1e-06,0.394,0.3756,0.001,46.453,user_limit
100000.0,1e-06,10000.0,1e-06,0.3939,0.3755,0.001,46.957,user_limit
100000.0,1e-06,100000.0,1e-06,0.3938,0.3754,0.0,45.795,user_limit
100000.0,1e-06,1000000.0,1e-06,0.394,0.3755,0.0,45.848,user_limit
100000.0,1e-05,1e-06,1e-06,0.3939,0.3755,0.0,7.47,optimal
100000.0,1e-05,1e-05,1e-06,0.4088,0.3878,0.014,47.546,user_limit
100000.0,1e-05,0.0001,1e-06,0.406,0.3854,0.012,46.182,user_limit
100000.0,1e-05,0.001,1e-06,0.4034,0.3833,0.01,46.313,user_limit
100000.0,1e-05,0.01,1e-06,0.4022,0.3821,0.01,47.571,user_limit
100000.0,1e-05,0.1,1e-06,0.4006,0.381,0.009,46.18,user_limit
100000.0,1e-05,1.0,1e-06,0.3996,0.3801,0.008,46.295,user_limit
100000.0,1e-05,10.0,1e-06,0.3977,0.3786,0.005,46.302,user_limit
100000.0,1e-05,100.0,1e-06,0.3963,0.3774,0.004,46.197,user_limit
100000.0,1e-05,1000.0,1e-06,0.394,0.3756,0.001,46.321,user_limit
100000.0,1e-05,10000.0,1e-06,0.3939,0.3755,0.001,46.587,user_limit
100000.0,1e-05,100000.0,1e-06,0.3938,0.3754,0.001,45.716,user_limit
100000.0,1e-05,1000000.0,1e-06,0.394,0.3756,0.001,45.695,user_limit
100000.0,0.0001,1e-06,1e-06,0.3939,0.3755,0.0,7.482,optimal
100000.0,0.0001,1e-05,1e-06,0.4088,0.3878,0.014,47.6,user_limit
100000.0,0.0001,0.0001,1e-06,0.406,0.3854,0.012,46.229,user_limit
100000.0,0.0001,0.001,1e-06,0.4034,0.3833,0.01,46.623,user_limit
100000.0,0.0001,0.01,1e-06,0.4022,0.3821,0.01,46.794,user_limit
100000.0,0.0001,0.1,1e-06,0.4006,0.381,0.009,47.368,user_limit
100000.0,0.0001,1.0,1e-06,0.3996,0.3801,0.008,47.462,user_limit
100000.0,0.0001,10.0,1e-06,0.3977,0.3786,0.005,46.395,user_limit
100000.0,0.0001,100.0,1e-06,0.3963,0.3774,0.004,46.273,user_limit
100000.0,0.0001,1000.0,1e-06,0.394,0.3756,0.001,46.414,user_limit
100000.0,0.0001,10000.0,1e-06,0.3939,0.3755,0.001,46.892,user_limit
100000.0,0.0001,100000.0,1e-06,0.3939,0.3755,0.0,45.791,user_limit
100000.0,0.0001,1000000.0,1e-06,0.3938,0.3755,0.0,45.818,user_limit
100000.0,0.001,1e-06,1e-06,0.3939,0.3755,0.0,7.527,optimal
100000.0,0.001,1e-05,1e-06,0.4088,0.3878,0.014,47.647,user_limit
100000.0,0.001,0.0001,1e-06,0.406,0.3854,0.012,46.281,user_limit
100000.0,0.001,0.001,1e-06,0.4034,0.3833,0.01,46.275,user_limit
100000.0,0.001,0.01,1e-06,0.4022,0.3821,0.01,46.265,user_limit
100000.0,0.001,0.1,1e-06,0.4006,0.381,0.009,46.269,user_limit
100000.0,0.001,1.0,1e-06,0.3996,0.3801,0.008,46.249,user_limit
100000.0,0.001,10.0,1e-06,0.3977,0.3786,0.005,46.37,user_limit
100000.0,0.001,100.0,1e-06,0.3963,0.3774,0.004,46.282,user_limit
100000.0,0.001,1000.0,1e-06,0.394,0.3756,0.001,46.457,user_limit
100000.0,0.001,10000.0,1e-06,0.3939,0.3755,0.001,46.886,user_limit
100000.0,0.001,100000.0,1e-06,0.3938,0.3754,0.0,45.782,user_limit
100000.0,0.001,1000000.0,1e-06,0.394,0.3756,0.001,45.888,user_limit
100000.0,0.01,1e-06,1e-06,0.3939,0.3755,0.0,7.462,optimal
100000.0,0.01,1e-05,1e-06,0.4088,0.3878,0.014,47.414,user_limit
100000.0,0.01,0.0001,1e-06,0.406,0.3854,0.012,46.132,user_limit
100000.0,0.01,0.001,1e-06,0.4034,0.3833,0.01,46.103,user_limit
100000.0,0.01,0.01,1e-06,0.4022,0.3821,0.01,46.125,user_limit
100000.0,0.01,0.1,1e-06,0.4006,0.381,0.009,46.104,user_limit
100000.0,0.01,1.0,1e-06,0.3996,0.3801,0.008,46.088,user_limit
100000.0,0.01,10.0,1e-06,0.3977,0.3786,0.005,46.656,user_limit
100000.0,0.01,100.0,1e-06,0.3963,0.3774,0.004,46.794,user_limit
100000.0,0.01,1000.0,1e-06,0.394,0.3756,0.001,46.714,user_limit
100000.0,0.01,10000.0,1e-06,0.3937,0.3753,0.001,46.594,user_limit
100000.0,0.01,100000.0,1e-06,0.394,0.3756,0.0,46.163,user_limit
100000.0,0.01,1000000.0,1e-06,0.3939,0.3755,0.001,45.609,user_limit
100000.0,0.1,1e-06,1e-06,0.3939,0.3755,0.0,7.101,optimal
100000.0,0.1,1e-05,1e-06,0.4088,0.3878,0.014,47.627,user_limit
100000.0,0.1,0.0001,1e-06,0.406,0.3854,0.012,46.254,user_limit
100000.0,0.1,0.001,1e-06,0.4034,0.3833,0.01,46.251,user_limit
100000.0,0.1,0.01,1e-06,0.4022,0.3821,0.01,46.264,user_limit
100000.0,0.1,0.1,1e-06,0.4006,0.381,0.009,46.253,user_limit
100000.0,0.1,1.0,1e-06,0.3996,0.3801,0.008,46.253,user_limit
100000.0,0.1,10.0,1e-06,0.3977,0.3786,0.005,46.38,user_limit
100000.0,0.1,100.0,1e-06,0.3963,0.3774,0.004,46.317,user_limit
100000.0,0.1,1000.0,1e-06,0.394,0.3756,0.001,46.456,user_limit
100000.0,0.1,10000.0,1e-06,0.3938,0.3754,0.001,47.711,user_limit
100000.0,0.1,100000.0,1e-06,0.3939,0.3755,0.0,45.926,user_limit
100000.0,0.1,1000000.0,1e-06,0.3939,0.3755,0.0,45.863,user_limit
100000.0,1.0,1e-06,1e-06,0.3939,0.3755,0.0,7.078,optimal
100000.0,1.0,1e-05,1e-06,0.405,0.3846,0.012,47.76,user_limit
100000.0,1.0,0.0001,1e-06,0.4027,0.3827,0.01,46.391,user_limit
100000.0,1.0,0.001,1e-06,0.4014,0.3815,0.009,46.403,user_limit
100000.0,1.0,0.01,1e-06,0.3998,0.3803,0.008,46.429,user_limit
100000.0,1.0,0.1,1e-06,0.3985,0.3793,0.006,46.711,user_limit
100000.0,1.0,1.0,1e-06,0.398,0.3788,0.006,46.675,user_limit
100000.0,1.0,10.0,1e-06,0.3977,0.3786,0.005,46.453,user_limit
100000.0,1.0,100.0,1e-06,0.3965,0.3776,0.004,46.614,user_limit
100000.0,1.0,1000.0,1e-06,0.394,0.3756,0.001,46.65,user_limit
100000.0,1.0,10000.0,1e-06,0.3939,0.3755,0.0,45.923,user_limit
100000.0,1.0,100000.0,1e-06,0.3938,0.3755,0.001,49.191,user_limit
100000.0,1.0,1000000.0,1e-06,0.3938,0.3754,0.001,46.223,user_limit
100000.0,10.0,1e-06,1e-06,0.3939,0.3755,0.0,7.109,optimal
100000.0,10.0,1e-05,1e-06,0.3976,0.3785,0.005,47.726,user_limit
100000.0,10.0,0.0001,1e-06,0.3966,0.3776,0.004,46.251,user_limit
100000.0,10.0,0.001,1e-06,0.3963,0.3774,0.004,46.141,user_limit
100000.0,10.0,0.01,1e-06,0.3962,0.3773,0.004,46.093,user_limit
100000.0,10.0,0.1,1e-06,0.3958,0.3771,0.004,46.308,user_limit
100000.0,10.0,1.0,1e-06,0.3955,0.3768,0.003,46.094,user_limit
100000.0,10.0,10.0,1e-06,0.3941,0.3757,0.001,46.216,user_limit
100000.0,10.0,100.0,1e-06,0.394,0.3756,0.001,46.066,user_limit
100000.0,10.0,1000.0,1e-06,0.3939,0.3755,0.001,45.915,user_limit
100000.0,10.0,10000.0,1e-06,0.3938,0.3755,0.001,45.808,user_limit
100000.0,10.0,100000.0,1e-06,0.3939,0.3755,0.001,46.098,user_limit
100000.0,10.0,1000000.0,1e-06,0.3938,0.3755,0.0,46.427,user_limit
100000.0,100.0,1e-06,1e-06,0.3939,0.3755,0.0,7.061,optimal
100000.0,100.0,1e-05,1e-06,0.396,0.3772,0.004,47.728,user_limit
100000.0,100.0,0.0001,1e-06,0.3941,0.3757,0.001,46.411,user_limit
100000.0,100.0,0.001,1e-06,0.394,0.3756,0.0,46.251,user_limit
100000.0,100.0,0.01,1e-06,0.394,0.3756,0.0,46.285,user_limit
100000.0,100.0,0.1,1e-06,0.394,0.3756,0.0,46.241,user_limit
100000.0,100.0,1.0,1e-06,0.394,0.3756,0.0,46.278,user_limit
